Start Time (UTC), Stop Time (UTC)
2014-06-19T22:32:20.518367 UTC, 2014-06-19T23:03:19.518367 UTC
2014-06-20T00:05:48.518367 UTC, 2014-06-20T00:39:54.518367 UTC
2014-06-20T01:42:23.518367 UTC, 2014-06-20T02:16:28.518367 UTC
2014-06-20T03:19:04.229472 UTC, 2014-06-20T03:53:09.229472 UTC
2014-06-20T04:55:41.229472 UTC, 2014-06-20T05:29:46.229472 UTC
2014-06-20T06:32:18.229472 UTC, 2014-06-20T07:06:23.229472 UTC
2014-06-20T08:08:55.229472 UTC, 2014-06-20T08:42:59.229472 UTC
2014-06-20T09:45:31.229472 UTC, 2014-06-20T10:19:36.229472 UTC
2014-06-20T11:22:08.229472 UTC, 2014-06-20T11:56:13.229472 UTC
2014-06-20T12:58:45.474815 UTC, 2014-06-20T13:32:50.474815 UTC
2014-06-20T14:35:22.474815 UTC, 2014-06-20T15:09:27.474815 UTC
2014-06-20T16:11:59.474815 UTC, 2014-06-20T16:46:04.474815 UTC
2014-06-20T17:48:35.587295 UTC, 2014-06-20T18:22:40.587295 UTC
2014-06-20T19:25:12.587295 UTC, 2014-06-20T19:59:17.587295 UTC
2014-06-20T21:01:49.830879 UTC, 2014-06-20T21:35:53.830879 UTC
2014-06-20T22:38:26.830879 UTC, 2014-06-20T23:12:30.830879 UTC
2014-06-21T00:15:02.830879 UTC, 2014-06-21T00:49:07.830879 UTC
2014-06-21T01:51:39.830879 UTC, 2014-06-21T02:25:43.830879 UTC
2014-06-21T03:28:16.830879 UTC, 2014-06-21T04:02:20.830879 UTC
2014-06-21T05:04:54.050079 UTC, 2014-06-21T05:38:59.050079 UTC
2014-06-21T06:41:31.050079 UTC, 2014-06-21T07:15:36.050079 UTC
2014-06-21T08:18:08.050079 UTC, 2014-06-21T08:52:13.050079 UTC
2014-06-21T09:54:45.050079 UTC, 2014-06-21T10:28:49.050079 UTC
2014-06-21T11:31:22.050079 UTC, 2014-06-21T12:05:26.050079 UTC
2014-06-21T13:07:59.142271 UTC, 2014-06-21T13:42:03.142271 UTC
2014-06-21T14:44:35.142271 UTC, 2014-06-21T15:18:40.142271 UTC
2014-06-21T16:21:12.142271 UTC, 2014-06-21T16:55:16.142271 UTC
2014-06-21T17:57:49.142271 UTC, 2014-06-21T18:31:53.142271 UTC
2014-06-21T19:34:26.142271 UTC, 2014-06-21T20:08:30.142271 UTC
2014-06-21T21:11:02.942432 UTC, 2014-06-21T21:45:06.942432 UTC
2014-06-21T22:47:39.942432 UTC, 2014-06-21T23:21:43.942432 UTC
2014-06-22T00:24:15.942432 UTC, 2014-06-22T00:58:19.942432 UTC
2014-06-22T02:00:52.942432 UTC, 2014-06-22T02:34:56.942432 UTC
2014-06-22T03:37:29.942432 UTC, 2014-06-22T04:11:33.942432 UTC
2014-06-22T05:14:06.765055 UTC, 2014-06-22T05:48:10.765055 UTC
2014-06-22T06:50:43.765055 UTC, 2014-06-22T07:24:47.765055 UTC
2014-06-22T08:27:20.765055 UTC, 2014-06-22T09:01:24.765055 UTC
2014-06-22T10:03:57.765055 UTC, 2014-06-22T10:38:01.765055 UTC
2014-06-22T11:40:34.765055 UTC, 2014-06-22T12:14:38.765055 UTC
2014-06-22T13:17:10.811456 UTC, 2014-06-22T13:51:14.811456 UTC
2014-06-22T14:53:47.811456 UTC, 2014-06-22T15:27:51.811456 UTC
2014-06-22T16:30:24.811456 UTC, 2014-06-22T17:04:28.811456 UTC
2014-06-22T18:07:01.811456 UTC, 2014-06-22T18:41:05.811456 UTC
2014-06-22T19:43:38.811456 UTC, 2014-06-22T20:17:42.811456 UTC
2014-06-22T21:20:15.564959 UTC, 2014-06-22T21:54:18.564959 UTC
2014-06-22T22:56:51.564959 UTC, 2014-06-22T23:30:55.564959 UTC
2014-06-23T00:33:28.564959 UTC, 2014-06-23T01:07:32.564959 UTC
2014-06-23T02:10:05.564959 UTC, 2014-06-23T02:44:08.564959 UTC
2014-06-23T03:46:42.564959 UTC, 2014-06-23T04:20:45.564959 UTC
2014-06-23T05:23:19.384128 UTC, 2014-06-23T05:57:23.384128 UTC
2014-06-23T06:59:56.384128 UTC, 2014-06-23T07:34:00.384128 UTC
2014-06-23T08:36:33.384128 UTC, 2014-06-23T09:10:36.384128 UTC
2014-06-23T10:13:10.384128 UTC, 2014-06-23T10:47:13.384128 UTC
2014-06-23T11:49:46.384128 UTC, 2014-06-23T12:23:50.384128 UTC
2014-06-23T13:26:23.272416 UTC, 2014-06-23T14:00:27.272416 UTC
2014-06-23T15:03:00.272416 UTC, 2014-06-23T15:37:03.272416 UTC
2014-06-23T16:39:37.272416 UTC, 2014-06-23T17:13:40.272416 UTC
2014-06-23T18:16:14.272416 UTC, 2014-06-23T18:50:17.272416 UTC
2014-06-23T19:52:51.272416 UTC, 2014-06-23T20:26:54.272416 UTC
2014-06-23T21:29:27.025919 UTC, 2014-06-23T22:03:31.025919 UTC
2014-06-23T23:06:04.025919 UTC, 2014-06-23T23:40:07.025919 UTC
2014-06-24T00:42:41.025919 UTC, 2014-06-24T01:16:44.025919 UTC
2014-06-24T02:19:17.287872 UTC, 2014-06-24T02:53:21.287872 UTC
2014-06-24T03:55:54.287872 UTC, 2014-06-24T04:29:57.287872 UTC
2014-06-24T05:32:31.287872 UTC, 2014-06-24T06:06:34.287872 UTC
2014-06-24T07:09:07.287872 UTC, 2014-06-24T07:43:11.287872 UTC
2014-06-24T08:45:44.287872 UTC, 2014-06-24T09:19:47.287872 UTC
2014-06-24T10:22:21.094079 UTC, 2014-06-24T10:56:25.094079 UTC
2014-06-24T11:58:58.094079 UTC, 2014-06-24T12:33:01.094079 UTC
2014-06-24T13:35:35.094079 UTC, 2014-06-24T14:09:38.094079 UTC
2014-06-24T15:12:12.094079 UTC, 2014-06-24T15:46:15.094079 UTC
2014-06-24T16:48:49.094079 UTC, 2014-06-24T17:22:52.094079 UTC
2014-06-24T18:25:25.891648 UTC, 2014-06-24T18:59:28.891648 UTC
2014-06-24T20:02:02.891648 UTC, 2014-06-24T20:36:05.891648 UTC
2014-06-24T21:38:38.891648 UTC, 2014-06-24T22:12:41.891648 UTC
2014-06-24T23:15:15.891648 UTC, 2014-06-24T23:49:18.891648 UTC
2014-06-25T00:51:52.891648 UTC, 2014-06-25T01:25:55.891648 UTC
2014-06-25T02:28:29.635647 UTC, 2014-06-25T03:02:32.635647 UTC
2014-06-25T04:05:05.635647 UTC, 2014-06-25T04:39:08.635647 UTC
2014-06-25T05:41:42.635647 UTC, 2014-06-25T06:15:45.635647 UTC
2014-06-25T07:18:19.635647 UTC, 2014-06-25T07:52:22.635647 UTC
2014-06-25T08:54:56.635647 UTC, 2014-06-25T09:28:58.635647 UTC
2014-06-25T10:31:33.428896 UTC, 2014-06-25T11:05:36.428896 UTC
2014-06-25T12:08:10.428896 UTC, 2014-06-25T12:42:12.428896 UTC
2014-06-25T13:44:46.428896 UTC, 2014-06-25T14:18:49.428896 UTC
2014-06-25T15:21:23.428896 UTC, 2014-06-25T15:55:26.428896 UTC
2014-06-25T16:58:00.428896 UTC, 2014-06-25T17:32:03.428896 UTC
2014-06-25T18:34:37.299904 UTC, 2014-06-25T19:08:40.299904 UTC
2014-06-25T20:11:14.299904 UTC, 2014-06-25T20:45:17.299904 UTC
2014-06-25T21:47:51.299904 UTC, 2014-06-25T22:21:53.299904 UTC
2014-06-25T23:24:27.299904 UTC, 2014-06-25T23:58:30.299904 UTC
2014-06-26T01:01:04.299904 UTC, 2014-06-26T01:35:07.299904 UTC
2014-06-26T02:37:41.044768 UTC, 2014-06-26T03:11:44.044768 UTC
2014-06-26T04:14:18.044768 UTC, 2014-06-26T04:48:20.044768 UTC
2014-06-26T05:50:55.044768 UTC, 2014-06-26T06:24:57.044768 UTC
2014-06-26T07:27:31.044768 UTC, 2014-06-26T08:01:34.044768 UTC
2014-06-26T09:04:08.044768 UTC, 2014-06-26T09:38:10.044768 UTC
2014-06-26T10:40:44.802592 UTC, 2014-06-26T11:14:47.802592 UTC
2014-06-26T12:17:21.802592 UTC, 2014-06-26T12:51:23.802592 UTC
2014-06-26T13:53:58.802592 UTC, 2014-06-26T14:28:00.802592 UTC
2014-06-26T15:30:34.802592 UTC, 2014-06-26T16:04:37.802592 UTC
2014-06-26T17:07:11.802592 UTC, 2014-06-26T17:41:14.802592 UTC
2014-06-26T18:43:48.636448 UTC, 2014-06-26T19:17:51.636448 UTC
2014-06-26T20:20:25.636448 UTC, 2014-06-26T20:54:27.636448 UTC
2014-06-26T21:57:02.636448 UTC, 2014-06-26T22:31:04.636448 UTC
2014-06-26T23:33:39.636448 UTC, 2014-06-27T00:07:41.636448 UTC
2014-06-27T01:10:15.636448 UTC, 2014-06-27T01:44:17.636448 UTC
2014-06-27T02:46:52.374399 UTC, 2014-06-27T03:20:54.374399 UTC
2014-06-27T04:23:29.374399 UTC, 2014-06-27T04:57:31.374399 UTC
2014-06-27T06:00:06.374399 UTC, 2014-06-27T06:34:08.374399 UTC
2014-06-27T07:36:42.374399 UTC, 2014-06-27T08:10:44.374399 UTC
2014-06-27T09:13:19.374399 UTC, 2014-06-27T09:47:21.374399 UTC
2014-06-27T10:49:56.142592 UTC, 2014-06-27T11:23:58.142592 UTC
2014-06-27T12:26:33.142592 UTC, 2014-06-27T13:00:35.142592 UTC
2014-06-27T14:03:10.142592 UTC, 2014-06-27T14:37:12.142592 UTC
2014-06-27T15:39:46.142592 UTC, 2014-06-27T16:13:48.142592 UTC
2014-06-27T17:16:23.142592 UTC, 2014-06-27T17:50:25.142592 UTC
2014-06-27T18:52:59.996320 UTC, 2014-06-27T19:27:01.996320 UTC
2014-06-27T20:29:36.996320 UTC, 2014-06-27T21:03:38.996320 UTC
2014-06-27T22:06:13.996320 UTC, 2014-06-27T22:40:15.996320 UTC
2014-06-27T23:42:50.996320 UTC, 2014-06-28T00:16:51.996320 UTC
2014-06-28T01:19:26.996320 UTC, 2014-06-28T01:53:28.996320 UTC
2014-06-28T02:56:03.740320 UTC, 2014-06-28T03:30:05.740320 UTC
2014-06-28T04:32:40.740320 UTC, 2014-06-28T05:06:42.740320 UTC
2014-06-28T06:09:17.740320 UTC, 2014-06-28T06:43:18.740320 UTC
2014-06-28T07:45:53.740320 UTC, 2014-06-28T08:19:55.740320 UTC
2014-06-28T09:22:30.740320 UTC, 2014-06-28T09:56:32.740320 UTC
2014-06-28T10:59:07.560352 UTC, 2014-06-28T11:33:09.560352 UTC
2014-06-28T12:35:44.560352 UTC, 2014-06-28T13:09:45.560352 UTC
2014-06-28T14:12:21.560352 UTC, 2014-06-28T14:46:22.560352 UTC
2014-06-28T15:48:57.560352 UTC, 2014-06-28T16:22:59.560352 UTC
2014-06-28T17:25:34.560352 UTC, 2014-06-28T17:59:36.560352 UTC
2014-06-28T19:02:11.408895 UTC, 2014-06-28T19:36:13.408895 UTC
2014-06-28T20:38:48.408895 UTC, 2014-06-28T21:12:50.408895 UTC
2014-06-28T22:15:25.408895 UTC, 2014-06-28T22:49:26.408895 UTC
2014-06-28T23:52:01.408895 UTC, 2014-06-29T00:26:03.408895 UTC
2014-06-29T01:28:38.429152 UTC, 2014-06-29T02:02:39.429152 UTC
2014-06-29T03:05:15.429152 UTC, 2014-06-29T03:39:16.429152 UTC
2014-06-29T04:41:51.429152 UTC, 2014-06-29T05:15:53.429152 UTC
2014-06-29T06:18:28.429152 UTC, 2014-06-29T06:52:29.429152 UTC
2014-06-29T07:55:05.429152 UTC, 2014-06-29T08:29:06.429152 UTC
2014-06-29T09:31:42.210304 UTC, 2014-06-29T10:05:43.210304 UTC
2014-06-29T11:08:19.210304 UTC, 2014-06-29T11:42:20.210304 UTC
2014-06-29T12:44:55.210304 UTC, 2014-06-29T13:18:57.210304 UTC
2014-06-29T14:21:32.210304 UTC, 2014-06-29T14:55:33.210304 UTC
2014-06-29T15:58:09.210304 UTC, 2014-06-29T16:32:10.210304 UTC
2014-06-29T17:34:46.210304 UTC, 2014-06-29T18:08:47.210304 UTC
2014-06-29T19:11:22.809376 UTC, 2014-06-29T19:45:23.809376 UTC
2014-06-29T20:47:59.809376 UTC, 2014-06-29T21:22:00.809376 UTC
2014-06-29T22:24:35.809376 UTC, 2014-06-29T22:58:37.809376 UTC
2014-06-30T00:01:12.809376 UTC, 2014-06-30T00:35:13.809376 UTC
2014-06-30T01:37:49.827039 UTC, 2014-06-30T02:11:50.827039 UTC
2014-06-30T03:14:25.827039 UTC, 2014-06-30T03:48:26.827039 UTC
2014-06-30T04:51:02.827039 UTC, 2014-06-30T05:25:03.827039 UTC
2014-06-30T06:27:39.827039 UTC, 2014-06-30T07:01:40.827039 UTC
2014-06-30T08:04:15.827039 UTC, 2014-06-30T08:38:16.827039 UTC
2014-06-30T09:40:53.571040 UTC, 2014-06-30T10:14:54.571040 UTC
2014-06-30T11:17:29.571040 UTC, 2014-06-30T11:51:30.571040 UTC
2014-06-30T12:54:06.571040 UTC, 2014-06-30T13:28:07.571040 UTC
2014-06-30T14:30:43.571040 UTC, 2014-06-30T15:04:44.571040 UTC
2014-06-30T16:07:19.571040 UTC, 2014-06-30T16:41:20.571040 UTC
2014-06-30T17:43:57.339231 UTC, 2014-06-30T18:17:57.339231 UTC
2014-06-30T19:20:33.339231 UTC, 2014-06-30T19:54:34.339231 UTC
2014-06-30T20:57:10.339231 UTC, 2014-06-30T21:31:11.339231 UTC
2014-06-30T22:33:47.339231 UTC, 2014-06-30T23:07:47.339231 UTC
2014-07-01T00:10:23.339231 UTC, 2014-07-01T00:44:24.339231 UTC
2014-07-01T01:47:00.339231 UTC, 2014-07-01T02:21:01.339231 UTC
2014-07-01T03:23:36.794015 UTC, 2014-07-01T03:57:37.794015 UTC
2014-07-01T05:00:13.794015 UTC, 2014-07-01T05:34:14.794015 UTC
2014-07-01T06:36:50.794015 UTC, 2014-07-01T07:10:50.794015 UTC
2014-07-01T08:13:26.794015 UTC, 2014-07-01T08:47:27.794015 UTC
2014-07-01T09:50:03.743424 UTC, 2014-07-01T10:24:04.743424 UTC
2014-07-01T11:26:40.743424 UTC, 2014-07-01T12:00:40.743424 UTC
2014-07-01T13:03:16.743424 UTC, 2014-07-01T13:37:17.743424 UTC
2014-07-01T14:39:53.743424 UTC, 2014-07-01T15:13:53.743424 UTC
2014-07-01T16:16:30.743424 UTC, 2014-07-01T16:50:30.743424 UTC
2014-07-01T17:53:07.384607 UTC, 2014-07-01T18:27:07.384607 UTC
2014-07-01T19:29:44.384607 UTC, 2014-07-01T20:03:44.384607 UTC
2014-07-01T21:06:20.384607 UTC, 2014-07-01T21:40:21.384607 UTC
2014-07-01T22:42:57.384607 UTC, 2014-07-01T23:16:57.384607 UTC
2014-07-02T00:19:34.384607 UTC, 2014-07-02T00:53:34.384607 UTC
2014-07-02T01:56:10.061216 UTC, 2014-07-02T02:30:11.061216 UTC
2014-07-02T03:32:47.061216 UTC, 2014-07-02T04:06:47.061216 UTC
2014-07-02T05:09:24.061216 UTC, 2014-07-02T05:43:24.061216 UTC
2014-07-02T06:46:00.061216 UTC, 2014-07-02T07:20:01.061216 UTC
2014-07-02T08:22:37.061216 UTC, 2014-07-02T08:56:37.061216 UTC
2014-07-02T09:59:13.673023 UTC, 2014-07-02T10:33:13.673023 UTC
2014-07-02T11:35:50.673023 UTC, 2014-07-02T12:09:50.673023 UTC
2014-07-02T13:12:26.673023 UTC, 2014-07-02T13:46:26.673023 UTC
2014-07-02T14:49:03.673023 UTC, 2014-07-02T15:23:03.673023 UTC
2014-07-02T16:25:40.673023 UTC, 2014-07-02T16:59:40.673023 UTC
2014-07-02T18:02:17.210527 UTC, 2014-07-02T18:36:17.210527 UTC
2014-07-02T19:38:54.210527 UTC, 2014-07-02T20:12:54.210527 UTC
2014-07-02T21:15:30.210527 UTC, 2014-07-02T21:49:30.210527 UTC
2014-07-02T22:52:07.210527 UTC, 2014-07-02T23:26:07.210527 UTC
2014-07-03T00:28:44.210527 UTC, 2014-07-03T01:02:44.210527 UTC
2014-07-03T02:05:20.789503 UTC, 2014-07-03T02:39:19.789503 UTC
2014-07-03T03:41:56.789503 UTC, 2014-07-03T04:15:56.789503 UTC
2014-07-03T05:18:33.789503 UTC, 2014-07-03T05:52:33.789503 UTC
2014-07-03T06:55:09.789503 UTC, 2014-07-03T07:29:09.789503 UTC
2014-07-03T08:31:46.789503 UTC, 2014-07-03T09:05:46.789503 UTC
2014-07-03T10:08:23.254431 UTC, 2014-07-03T10:42:23.254431 UTC
2014-07-03T11:45:00.254431 UTC, 2014-07-03T12:19:00.254431 UTC
2014-07-03T13:21:36.254431 UTC, 2014-07-03T13:55:36.254431 UTC
2014-07-03T14:58:13.254431 UTC, 2014-07-03T15:32:13.254431 UTC
2014-07-03T16:34:50.254431 UTC, 2014-07-03T17:08:49.254431 UTC
2014-07-03T18:11:26.717631 UTC, 2014-07-03T18:45:26.717631 UTC
2014-07-03T19:48:03.717631 UTC, 2014-07-03T20:22:02.717631 UTC
2014-07-03T21:24:39.717631 UTC, 2014-07-03T21:58:39.717631 UTC
2014-07-03T23:01:16.717631 UTC, 2014-07-03T23:35:16.717631 UTC
2014-07-04T00:37:53.717631 UTC, 2014-07-04T01:11:52.717631 UTC
2014-07-04T02:14:29.159232 UTC, 2014-07-04T02:48:29.159232 UTC
2014-07-04T03:51:06.159232 UTC, 2014-07-04T04:25:06.159232 UTC
2014-07-04T05:27:43.159232 UTC, 2014-07-04T06:01:42.159232 UTC
2014-07-04T07:04:19.159232 UTC, 2014-07-04T07:38:19.159232 UTC
2014-07-04T08:40:56.159232 UTC, 2014-07-04T09:14:55.159232 UTC
2014-07-04T10:17:32.596511 UTC, 2014-07-04T10:51:31.596511 UTC
2014-07-04T11:54:08.596511 UTC, 2014-07-04T12:28:08.596511 UTC
2014-07-04T13:30:45.596511 UTC, 2014-07-04T14:04:44.596511 UTC
2014-07-04T15:07:22.596511 UTC, 2014-07-04T15:41:21.596511 UTC
2014-07-04T16:43:58.596511 UTC, 2014-07-04T17:17:58.596511 UTC
2014-07-04T18:20:35.961215 UTC, 2014-07-04T18:54:34.961215 UTC
2014-07-04T19:57:11.961215 UTC, 2014-07-04T20:31:11.961215 UTC
2014-07-04T21:33:48.961215 UTC, 2014-07-04T22:07:47.961215 UTC
2014-07-04T23:10:25.961215 UTC, 2014-07-04T23:44:24.961215 UTC
